id,investor_id,investor_type,fund_id,role,subscription_date,commitment_currency
par_0129,per_0020,PERSON,fnd_0008,LP,2025-05-07,USD
par_0130,per_0081,PERSON,fnd_0007,LP,2022-06-19,USD
par_0131,per_0070,PERSON,fnd_0004,LP,2021-05-08,USD
par_0132,cmp_0021,COMPANY,fnd_0001,SPV,2024-06-23,USD
par_0133,cmp_0007,COMPANY,fnd_0005,LP,2022-05-20,USD
par_0134,per_0019,PERSON,fnd_0007,LP,2026-05-22,USD
par_0135,per_0058,PERSON,fnd_0003,LP,2021-04-02,USD
par_0136,per_0035,PERSON,fnd_0008,LP,2024-08-10,USD
par_0137,trs_0005,TRUST,fnd_0006,LP,2021-06-09,USD
par_0138,per_0072,PERSON,fnd_0004,LP,2022-10-22,USD
par_0139,per_0066,PERSON,fnd_0001,LP,2024-04-18,USD
par_0140,per_0038,PERSON,fnd_0003,LP,2023-03-24,USD
par_0141,per_0070,PERSON,fnd_0003,GP,2022-09-08,USD
par_0142,per_0019,PERSON,fnd_0004,LP,2024-08-06,USD
par_0143,per_0011,PERSON,fnd_0002,LP,2023-03-07,USD
par_0144,per_0066,PERSON,fnd_0004,LP,2022-01-07,USD
par_0145,per_0058,PERSON,fnd_0007,LP,2024-10-30,USD
par_0146,per_0070,PERSON,fnd_0003,LP,2026-06-02,USD
par_0147,cmp_0019,COMPANY,fnd_0002,LP,2024-12-26,USD
par_0148,cmp_0010,COMPANY,fnd_0004,LP,2022-09-09,USD
par_0149,per_0063,PERSON,fnd_0008,LP,2024-02-09,USD
par_0150,cmp_0040,COMPANY,fnd_0001,LP,2023-04-15,USD
