id,participation_id,fund_id,investor_id,commitment_amount,commitment_currency,commitment_date,funded_amount,remaining_commitment,status
ccm_0071,par_0071,fnd_0003,cmp_0024,20000000,USD,2025-07-03,7428641,12571359,ACTIVE
ccm_0072,par_0072,fnd_0008,per_0028,20000000,USD,2024-10-28,8664166,11335834,ACTIVE
ccm_0073,par_0073,fnd_0007,per_0008,150000000,USD,2023-11-27,84854889,65145111,ACTIVE
ccm_0074,par_0074,fnd_0003,per_0031,50000000,USD,2021-06-18,14529678,35470322,ACTIVE
ccm_0075,par_0075,fnd_0002,per_0008,150000000,USD,2024-01-14,106912057,43087943,ACTIVE
ccm_0076,par_0076,fnd_0007,per_0022,150000000,USD,2023-08-09,65866136,84133864,ACTIVE
ccm_0077,par_0077,fnd_0005,cmp_0010,150000000,USD,2024-03-07,119233902,30766098,ACTIVE
ccm_0078,par_0078,fnd_0003,per_0038,50000000,USD,2021-11-11,34586971,15413029,ACTIVE
ccm_0079,par_0079,fnd_0007,cmp_0023,300000000,USD,2025-11-20,157337483,142662517,ACTIVE
ccm_0080,par_0080,fnd_0006,per_0005,100000000,USD,2021-04-18,69821084,30178916,ACTIVE
ccm_0081,par_0081,fnd_0002,cmp_0025,300000000,USD,2021-08-24,189915538,110084462,ACTIVE
ccm_0082,par_0082,fnd_0003,per_0068,300000000,USD,2025-01-03,115538643,184461357,ACTIVE
ccm_0083,par_0083,fnd_0008,per_0040,5000000,USD,2025-01-27,2324611,2675389,ACTIVE
ccm_0084,par_0084,fnd_0008,per_0053,100000000,USD,2022-10-27,68095626,31904374,ACTIVE
ccm_0085,par_0085,fnd_0006,per_0079,300000000,USD,2025-05-27,231214465,68785535,ACTIVE
ccm_0086,par_0086,fnd_0003,per_0074,10000000,USD,2023-08-29,3833851,6166149,ACTIVE
ccm_0087,par_0087,fnd_0007,per_0084,150000000,USD,2022-03-03,61265588,88734412,ACTIVE
ccm_0088,par_0088,fnd_0001,per_0080,20000000,USD,2023-11-01,10802694,9197306,ACTIVE
ccm_0089,par_0089,fnd_0008,per_0054,2000000,USD,2025-07-06,778925,1221075,ACTIVE
ccm_0090,par_0090,fnd_0003,per_0068,2000000,USD,2024-09-09,587075,1412925,ACTIVE
ccm_0091,par_0091,fnd_0006,per_0038,5000000,USD,2021-02-28,3408925,1591075,ACTIVE
ccm_0092,par_0092,fnd_0008,cmp_0018,2000000,USD,2022-06-24,1170627,829373,ACTIVE
ccm_0093,par_0093,fnd_0005,cmp_0006,150000000,USD,2022-11-09,107659827,42340173,ACTIVE
ccm_0094,par_0094,fnd_0006,cmp_0023,5000000,USD,2021-09-24,1800043,3199957,ACTIVE
ccm_0095,par_0095,fnd_0003,per_0045,100000000,USD,2024-09-22,89792721,10207279,ACTIVE
ccm_0096,par_0096,fnd_0007,per_0085,5000000,USD,2024-04-19,4251296,748704,ACTIVE
ccm_0097,par_0097,fnd_0006,per_0084,20000000,USD,2024-07-18,11351609,8648391,ACTIVE
ccm_0098,par_0098,fnd_0004,per_0053,20000000,USD,2021-10-21,12270730,7729270,ACTIVE
ccm_0099,par_0099,fnd_0008,per_0084,50000000,USD,2024-01-02,19578831,30421169,ACTIVE
ccm_0100,par_0100,fnd_0004,cmp_0001,300000000,USD,2026-04-22,217452171,82547829,ACTIVE
ccm_0101,par_0101,fnd_0006,trs_0008,300000000,USD,2025-10-18,229150253,70849747,ACTIVE
ccm_0102,par_0102,fnd_0001,per_0049,10000000,USD,2023-04-23,3643602,6356398,ACTIVE
ccm_0103,par_0103,fnd_0007,per_0030,300000000,USD,2021-10-30,87543122,212456878,ACTIVE
ccm_0104,par_0104,fnd_0003,per_0011,150000000,USD,2023-12-12,117726605,32273395,ACTIVE
ccm_0105,par_0105,fnd_0003,per_0089,100000000,USD,2026-01-17,55011846,44988154,ACTIVE
ccm_0106,par_0106,fnd_0004,trs_0005,2000000,USD,2023-05-22,754232,1245768,ACTIVE
ccm_0107,par_0107,fnd_0005,per_0081,300000000,USD,2023-03-26,267787088,32212912,ACTIVE
ccm_0108,par_0108,fnd_0001,per_0005,2000000,USD,2022-11-06,1069176,930824,ACTIVE
ccm_0109,par_0109,fnd_0007,cmp_0016,300000000,USD,2021-11-11,100036108,199963892,ACTIVE
ccm_0110,par_0110,fnd_0007,per_0078,100000000,USD,2024-09-01,59760292,40239708,ACTIVE
ccm_0111,par_0111,fnd_0004,trs_0003,150000000,USD,2025-11-01,59215847,90784153,ACTIVE
ccm_0112,par_0112,fnd_0006,trs_0004,300000000,USD,2025-05-27,169913359,130086641,ACTIVE
ccm_0113,par_0113,fnd_0004,trs_0001,2000000,USD,2023-07-30,1666207,333793,ACTIVE
ccm_0114,par_0114,fnd_0004,per_0043,5000000,USD,2025-10-06,3856886,1143114,ACTIVE
ccm_0115,par_0115,fnd_0006,per_0065,10000000,USD,2023-11-04,3698879,6301121,ACTIVE
ccm_0116,par_0116,fnd_0003,per_0076,2000000,USD,2021-06-06,778506,1221494,ACTIVE
ccm_0117,par_0117,fnd_0003,per_0010,100000000,USD,2022-05-01,56017007,43982993,ACTIVE
ccm_0118,par_0118,fnd_0007,per_0026,150000000,USD,2026-02-09,79643937,70356063,ACTIVE
ccm_0119,par_0119,fnd_0005,per_0066,150000000,USD,2021-08-12,86887158,63112842,ACTIVE
ccm_0120,par_0120,fnd_0005,trs_0006,20000000,USD,2023-04-16,9447724,10552276,ACTIVE
ccm_0121,par_0121,fnd_0007,cmp_0012,100000000,USD,2022-04-25,42579703,57420297,ACTIVE
ccm_0122,par_0122,fnd_0008,trs_0011,300000000,USD,2021-07-21,196019232,103980768,ACTIVE
ccm_0123,par_0123,fnd_0002,per_0077,300000000,USD,2025-10-03,242074559,57925441,ACTIVE
ccm_0124,par_0124,fnd_0002,trs_0002,2000000,USD,2026-03-24,1692655,307345,ACTIVE
ccm_0125,par_0125,fnd_0004,cmp_0023,2000000,USD,2024-11-25,1326202,673798,ACTIVE
ccm_0126,par_0126,fnd_0002,per_0028,300000000,USD,2023-06-28,109481098,190518902,ACTIVE
ccm_0127,par_0127,fnd_0008,per_0050,10000000,USD,2024-05-26,7861769,2138231,ACTIVE
ccm_0128,par_0128,fnd_0006,per_0078,20000000,USD,2022-09-26,11278288,8721712,ACTIVE
ccm_0129,par_0129,fnd_0008,per_0020,300000000,USD,2025-05-07,126241140,173758860,ACTIVE
ccm_0130,par_0130,fnd_0007,per_0081,5000000,USD,2022-06-19,3101850,1898150,ACTIVE
ccm_0131,par_0131,fnd_0004,per_0070,150000000,USD,2021-05-08,117273010,32726990,ACTIVE
ccm_0132,par_0132,fnd_0001,cmp_0021,2000000,USD,2024-06-23,491377,1508623,ACTIVE
ccm_0133,par_0133,fnd_0005,cmp_0007,5000000,USD,2022-05-20,2260340,2739660,ACTIVE
ccm_0134,par_0134,fnd_0007,per_0019,100000000,USD,2026-05-22,57537106,42462894,ACTIVE
ccm_0135,par_0135,fnd_0003,per_0058,300000000,USD,2021-04-02,133461503,166538497,ACTIVE
ccm_0136,par_0136,fnd_0008,per_0035,300000000,USD,2024-08-10,70551130,229448870,ACTIVE
ccm_0137,par_0137,fnd_0006,trs_0005,50000000,USD,2021-06-09,22118456,27881544,ACTIVE
ccm_0138,par_0138,fnd_0004,per_0072,10000000,USD,2022-10-22,3084210,6915790,ACTIVE
ccm_0139,par_0139,fnd_0001,per_0066,5000000,USD,2024-04-18,1098101,3901899,ACTIVE
ccm_0140,par_0140,fnd_0003,per_0038,5000000,USD,2023-03-24,3117743,1882257,ACTIVE
ccm_0141,par_0141,fnd_0003,per_0070,2000000,USD,2022-09-08,1257347,742653,ACTIVE
ccm_0142,par_0142,fnd_0004,per_0019,20000000,USD,2024-08-06,11358555,8641445,ACTIVE
ccm_0143,par_0143,fnd_0002,per_0011,150000000,USD,2023-03-07,92032665,57967335,ACTIVE
ccm_0144,par_0144,fnd_0004,per_0066,5000000,USD,2022-01-07,1880010,3119990,ACTIVE
ccm_0145,par_0145,fnd_0007,per_0058,20000000,USD,2024-10-30,15296638,4703362,ACTIVE
ccm_0146,par_0146,fnd_0003,per_0070,10000000,USD,2026-06-02,3920037,6079963,ACTIVE
ccm_0147,par_0147,fnd_0002,cmp_0019,50000000,USD,2024-12-26,21442167,28557833,ACTIVE
ccm_0148,par_0148,fnd_0004,cmp_0010,50000000,USD,2022-09-09,43917601,6082399,ACTIVE
ccm_0149,par_0149,fnd_0008,per_0063,5000000,USD,2024-02-09,3077199,1922801,ACTIVE
ccm_0150,par_0150,fnd_0001,cmp_0040,50000000,USD,2023-04-15,25713353,24286647,ACTIVE
