id,payment_ref,payment_date,amount,currency,expected_currency,from_account_id,from_counterparty_id,from_counterparty_type,to_fund_id,to_account_id,payment_purpose,funding_source,matching_capital_call_id,matching_allocated_amount,status,anomaly_metadata
pay_0018,TX-849737,2026-04-10,135546,USD,USD,bac_0141,cmp_0021,COMPANY,fnd_0007,,Capital call funding,OWN_FUNDS,cca_0038,140181,SETTLED,
pay_0019,TX-645759,2026-06-04,372494,USD,USD,bac_0024,per_0024,PERSON,fnd_0006,,Capital call funding,OWN_FUNDS,cca_0033,378754,SETTLED,
pay_0020,TX-781736,2026-04-23,12548144,EUR,USD,bac_0155,per_0042,PERSON,fnd_0007,,Capital call funding,THIRD_PARTY,cca_0039,13108681,SETTLED,"{""class"": ""THIRD_PARTY"", ""detail"": ""payer differs from LP legal entity""}"
pay_0021,TX-418007,2026-05-13,3292122,USD,USD,bac_0031,per_0031,PERSON,fnd_0007,,Capital call funding,OWN_FUNDS,cca_0041,3321117,SETTLED,
pay_0022,TX-750511,2026-05-19,1003316,USD,USD,bac_0174,cmp_0054,COMPANY,fnd_0008,,Capital call funding,THIRD_PARTY,cca_0042,1000923,SETTLED,
pay_0023,TX-945922,2026-07-26,10073223,USD,USD,bac_0128,cmp_0008,COMPANY,fnd_0006,,Capital call funding,OWN_FUNDS,cca_0035,10119058,SETTLED,
pay_0024,TX-938198,2026-07-31,4583443,USD,USD,bac_0176,cmp_0056,COMPANY,fnd_0006,,Capital call funding,OWN_FUNDS,cca_0034,4665154,SETTLED,
pay_0025,TX-334313,2026-04-19,7827598,USD,USD,bac_0072,per_0072,PERSON,fnd_0005,,Subsequent subscription,OWN_FUNDS,cca_0030,7962042,SETTLED,
pay_0026,TX-712775,2026-04-29,17599573,USD,USD,bac_0137,cmp_0017,COMPANY,fnd_0007,,Subsequent subscription,THIRD_PARTY,cca_0041,17591117,SETTLED,
pay_0027,TX-930108,2026-07-05,487973,USD,USD,bac_0008,per_0008,PERSON,fnd_0006,,Subsequent subscription,OWN_FUNDS,cca_0034,467312,SETTLED,
pay_0028,TX-529144,2026-05-02,4585567,USD,USD,bac_0105,per_0105,PERSON,fnd_0007,,Subsequent subscription,OWN_FUNDS,cca_0039,4446834,SETTLED,
pay_0029,TX-704844,2026-05-07,21773891,USD,USD,bac_0085,per_0085,PERSON,fnd_0006,,Capital call funding,OWN_FUNDS,cca_0032,22206997,SETTLED,
pay_0030,TX-417191,2026-05-02,2616912,USD,USD,bac_0097,per_0097,PERSON,fnd_0006,,Capital call funding,UNKNOWN,cca_0032,2668942,SETTLED,
pay_0031,TX-830225,2026-06-23,113879,USD,USD,bac_0010,per_0010,PERSON,fnd_0008,,Capital call funding,OWN_FUNDS,cca_0044,109475,SETTLED,
pay_0032,TX-828199,2026-05-15,2212463,USD,USD,bac_0073,per_0073,PERSON,fnd_0006,,Subsequent subscription,OWN_FUNDS,cca_0032,2197058,SETTLED,
pay_0033,TX-508656,2026-06-14,3594806,USD,USD,bac_0122,cmp_0002,COMPANY,fnd_0007,,Capital call funding,OWN_FUNDS,cca_0036,3466492,SETTLED,
pay_0034,TX-881835,2026-07-01,17696423,USD,USD,bac_0140,cmp_0020,COMPANY,fnd_0007,,Distribution,OWN_FUNDS,cca_0041,17591117,SETTLED,
pay_0035,TX-352405,2026-05-25,1041689,USD,USD,bac_0179,cmp_0059,COMPANY,fnd_0006,,Capital call funding,OWN_FUNDS,cca_0035,1084137,SETTLED,
pay_0036,TX-279559,2026-07-19,8706369,USD,USD,bac_0041,per_0041,PERSON,fnd_0008,,Subsequent subscription,THIRD_PARTY,cca_0043,8456935,SETTLED,
pay_0037,TX-879124,2026-05-09,461005,USD,USD,bac_0049,per_0049,PERSON,fnd_0007,,Capital call funding,OWN_FUNDS,cca_0039,453697,SETTLED,
pay_0038,TX-830742,2026-07-26,25378192,USD,USD,bac_0082,per_0082,PERSON,fnd_0008,,Capital call funding,OWN_FUNDS,cca_0043,26026653,SETTLED,
pay_0039,TX-235918,2026-05-20,11184902,EUR,USD,bac_0006,per_0071,PERSON,fnd_0007,,Capital call funding,OWN_FUNDS,cca_0038,11276490,SETTLED,"{""class"": ""THIRD_PARTY"", ""detail"": ""payer differs from LP legal entity""}"
pay_0040,TX-352779,2026-04-25,12162291,USD,USD,bac_0058,per_0058,PERSON,fnd_0007,,Capital call funding,THIRD_PARTY,cca_0036,11833830,SETTLED,
pay_0041,TX-750366,2026-07-30,936660,USD,USD,bac_0097,per_0097,PERSON,fnd_0006,,Capital call funding,OWN_FUNDS,cca_0035,947053,SETTLED,
pay_0042,TX-142276,2026-05-23,2662547,USD,USD,bac_0131,cmp_0011,COMPANY,fnd_0006,,Subsequent subscription,OWN_FUNDS,cca_0032,2668942,SETTLED,
pay_0043,TX-295431,2026-08-03,68507,USD,USD,bac_0158,cmp_0038,COMPANY,fnd_0005,,Distribution,UNKNOWN,cca_0029,70070,SETTLED,
pay_0044,TX-300612,2026-06-19,26193755,USD,USD,bac_0020,per_0020,PERSON,fnd_0007,,Distribution,OWN_FUNDS,cca_0040,26841266,SETTLED,
pay_0045,TX-576489,2026-07-11,928590,USD,USD,bac_0096,per_0096,PERSON,fnd_0006,,Capital call funding,OWN_FUNDS,cca_0034,580369,SETTLED,"{""class"": ""OVERPAYMENT"", ""detail"": ""amount exceeds allocated amount""}"
pay_0046,TX-543377,2026-07-26,12613948,USD,USD,bac_0006,per_0006,PERSON,fnd_0007,,Subsequent subscription,OWN_FUNDS,cca_0039,13108681,SETTLED,
pay_0047,TX-573264,2026-05-08,615647,USD,USD,bac_0101,per_0101,PERSON,fnd_0006,,Capital call funding,OWN_FUNDS,cca_0034,587044,SETTLED,
pay_0048,TX-354474,2026-04-23,35105715,USD,USD,bac_0170,cmp_0050,COMPANY,fnd_0005,,Subsequent subscription,THIRD_PARTY,cca_0030,33464834,SETTLED,
pay_0049,TX-517316,2026-06-11,1928045,USD,USD,bac_0020,per_0020,PERSON,fnd_0005,,Capital call funding,OWN_FUNDS,cca_0027,2013117,SETTLED,
pay_0050,TX-536950,2026-07-14,5629693,SGD,USD,bac_0131,UNKNOWN,UNKNOWN,fnd_0008,,Capital call funding,OWN_FUNDS,cca_0043,5844642,SETTLED,"{""class"": ""UNKNOWN_SOURCE"", ""detail"": ""no matching counterparty""}"
pay_0051,TX-274709,2026-08-07,3582089,USD,USD,bac_0099,per_0099,PERSON,fnd_0007,,Capital call funding,OWN_FUNDS,cca_0036,3466492,SETTLED,
pay_0052,TX-415899,2026-07-01,609655,USD,USD,bac_0088,per_0088,PERSON,fnd_0007,,Capital call funding,OWN_FUNDS,cca_0039,618818,SETTLED,
pay_0053,TX-334934,2026-06-16,9205764,USD,USD,bac_0086,per_0086,PERSON,fnd_0007,,Capital call funding,OWN_FUNDS,cca_0040,9048953,SETTLED,
pay_0054,TX-540950,2026-08-01,137858,USD,USD,bac_0056,per_0056,PERSON,fnd_0007,,Distribution,OWN_FUNDS,cca_0038,140181,SETTLED,
pay_0055,TX-386013,2026-06-29,4883185,USD,USD,bac_0123,cmp_0003,COMPANY,fnd_0006,,Capital call funding,OWN_FUNDS,cca_0034,4665154,SETTLED,
pay_0056,TX-575089,2026-06-17,255769,USD,USD,bac_0070,per_0070,PERSON,fnd_0007,,Capital call funding,OWN_FUNDS,cca_0036,265171,SETTLED,
pay_0057,TX-375779,2026-05-04,213806,USD,USD,bac_0051,per_0051,PERSON,fnd_0008,,Subsequent subscription,THIRD_PARTY,cca_0044,133629,SETTLED,"{""class"": ""OVERPAYMENT"", ""detail"": ""amount exceeds allocated amount""}"
pay_0058,TX-769377,2026-05-19,153753,USD,USD,bac_0143,cmp_0023,COMPANY,fnd_0006,,Capital call funding,OWN_FUNDS,cca_0035,148932,SETTLED,
pay_0059,TX-194622,2026-06-09,67074,USD,USD,bac_0139,cmp_0019,COMPANY,fnd_0005,,Distribution,OWN_FUNDS,cca_0029,70070,SETTLED,
pay_0060,TX-945458,2026-05-21,23750616,USD,USD,bac_0068,per_0068,PERSON,fnd_0006,,Distribution,OWN_FUNDS,cca_0031,23039556,SETTLED,
pay_0061,TX-170711,2026-05-06,307368,USD,USD,bac_0084,per_0084,PERSON,fnd_0008,,Subsequent subscription,OWN_FUNDS,cca_0043,296873,SETTLED,
pay_0062,TX-899759,2026-07-28,13865093,USD,USD,bac_0127,cmp_0007,COMPANY,fnd_0007,,Capital call funding,OWN_FUNDS,cca_0036,14158574,SETTLED,
pay_0063,TX-434625,2026-04-09,8727115,USD,USD,bac_0080,per_0080,PERSON,fnd_0005,,Subsequent subscription,OWN_FUNDS,cca_0028,8522222,SETTLED,
pay_0064,TX-898875,2026-05-10,27903189,USD,USD,bac_0136,per_0089,PERSON,fnd_0007,,Subsequent subscription,OWN_FUNDS,cca_0040,26841266,SETTLED,"{""class"": ""THIRD_PARTY"", ""detail"": ""payer differs from LP legal entity""}"
pay_0065,TX-215613,2026-05-08,6630607,USD,USD,bac_0082,per_0082,PERSON,fnd_0008,,Distribution,OWN_FUNDS,cca_0044,6493069,SETTLED,
pay_0066,TX-620779,2026-04-16,16292388,USD,USD,bac_0130,cmp_0010,COMPANY,fnd_0005,,Distribution,OWN_FUNDS,cca_0029,17116407,SETTLED,
pay_0067,TX-571386,2026-07-31,656504,USD,USD,bac_0125,cmp_0005,COMPANY,fnd_0006,,Subsequent subscription,OWN_FUNDS,cca_0033,410315,SETTLED,"{""class"": ""OVERPAYMENT"", ""detail"": ""amount exceeds allocated amount""}"
pay_0068,TX-167237,2026-08-05,444461,USD,USD,bac_0111,per_0006,PERSON,fnd_0008,,Distribution,OWN_FUNDS,cca_0043,429864,SETTLED,"{""class"": ""THIRD_PARTY"", ""detail"": ""payer differs from LP legal entity""}"
pay_0069,TX-405530,2026-06-17,28867953,AED,USD,bac_0095,per_0095,PERSON,fnd_0006,,Distribution,THIRD_PARTY,cca_0033,28819959,SETTLED,"{""class"": ""UNEXPECTED_CURRENCY"", ""detail"": ""AED received, USD expected""}"
pay_0070,TX-733140,2026-07-25,482763,USD,USD,bac_0069,per_0069,PERSON,fnd_0006,,Subsequent subscription,THIRD_PARTY,cca_0032,504721,SETTLED,
pay_0071,TX-559360,2026-07-22,250602,USD,USD,bac_0010,per_0010,PERSON,fnd_0007,,Capital call funding,THIRD_PARTY,cca_0036,259688,SETTLED,
pay_0072,TX-152848,2026-04-19,267901,USD,USD,bac_0174,cmp_0054,COMPANY,fnd_0007,,Capital call funding,OWN_FUNDS,cca_0036,265171,SETTLED,
pay_0073,TX-275123,2026-07-03,8899597,USD,USD,bac_0041,per_0041,PERSON,fnd_0007,,Distribution,OWN_FUNDS,cca_0040,8945211,SETTLED,
pay_0074,TX-189221,2026-04-13,1127748,USD,USD,bac_0169,cmp_0049,COMPANY,fnd_0006,,Capital call funding,OWN_FUNDS,cca_0035,1084137,SETTLED,
pay_0075,TX-489420,2026-06-19,6759950,USD,USD,bac_0140,cmp_0020,COMPANY,fnd_0008,,Capital call funding,OWN_FUNDS,cca_0044,6493069,SETTLED,
pay_0076,TX-879053,2026-06-04,14952709,USD,USD,bac_0010,per_0010,PERSON,fnd_0007,,Capital call funding,OWN_FUNDS,cca_0040,15171513,SETTLED,
pay_0077,TX-325282,2026-05-15,342168,JPY,USD,bac_0007,per_0105,PERSON,fnd_0006,,Capital call funding,OWN_FUNDS,cca_0031,336489,SETTLED,"{""class"": ""THIRD_PARTY"", ""detail"": ""payer differs from LP legal entity""}"
pay_0078,TX-986963,2026-05-14,3796709,USD,USD,bac_0174,cmp_0054,COMPANY,fnd_0008,,Subsequent subscription,OWN_FUNDS,cca_0044,3693401,SETTLED,
pay_0079,TX-200122,2026-04-11,339815,USD,USD,bac_0135,cmp_0015,COMPANY,fnd_0007,,Subsequent subscription,OWN_FUNDS,cca_0036,338145,SETTLED,
pay_0080,TX-440531,2026-05-09,425957,AED,USD,bac_0132,cmp_0012,COMPANY,fnd_0008,,Distribution,OWN_FUNDS,cca_0043,429864,SETTLED,"{""class"": ""UNEXPECTED_CURRENCY"", ""detail"": ""AED received, USD expected""}"
pay_0081,TX-819974,2026-07-04,8748558,USD,USD,bac_0130,cmp_0010,COMPANY,fnd_0007,,Subsequent subscription,OWN_FUNDS,cca_0038,8519972,SETTLED,
pay_0082,TX-976774,2026-06-27,4446238,USD,USD,bac_0046,per_0016,PERSON,fnd_0008,,Subsequent subscription,OWN_FUNDS,cca_0043,4459377,SETTLED,"{""class"": ""THIRD_PARTY"", ""detail"": ""payer differs from LP legal entity""}"
pay_0083,TX-742327,2026-06-13,2972089,USD,USD,bac_0052,per_0052,PERSON,fnd_0006,,Subsequent subscription,OWN_FUNDS,cca_0033,2959665,SETTLED,
pay_0084,TX-434473,2026-04-13,1130847,USD,USD,bac_0156,cmp_0036,COMPANY,fnd_0006,,Capital call funding,OWN_FUNDS,cca_0035,1084137,SETTLED,
pay_0085,TX-119731,2026-05-29,11139533,USD,USD,bac_0019,per_0019,PERSON,fnd_0007,,Capital call funding,OWN_FUNDS,cca_0038,11276490,SETTLED,
pay_0086,TX-561785,2026-07-13,14927041,USD,USD,bac_0128,cmp_0008,COMPANY,fnd_0007,,Distribution,OWN_FUNDS,cca_0037,15064137,SETTLED,
pay_0087,TX-372267,2026-05-21,47074,USD,USD,bac_0008,per_0008,PERSON,fnd_0005,,Capital call funding,OWN_FUNDS,cca_0028,46946,SETTLED,
pay_0088,TX-435997,2026-05-13,112502,USD,USD,bac_0036,per_0036,PERSON,fnd_0008,,Subsequent subscription,OWN_FUNDS,cca_0044,109475,SETTLED,
pay_0089,TX-277166,2026-07-27,29724108,USD,USD,bac_0120,per_0120,PERSON,fnd_0006,,Distribution,OWN_FUNDS,cca_0033,28819959,SETTLED,
pay_0090,TX-667259,2026-06-24,46976,JPY,USD,bac_0161,per_0028,PERSON,fnd_0005,,Capital call funding,UNKNOWN,cca_0028,46946,SETTLED,"{""class"": ""THIRD_PARTY"", ""detail"": ""payer differs from LP legal entity""}"
pay_0091,TX-648556,2026-04-10,35622766,USD,USD,bac_0119,per_0119,PERSON,fnd_0007,,Subsequent subscription,THIRD_PARTY,cca_0038,33972718,SETTLED,
pay_0092,TX-326704,2026-07-02,2260865,USD,USD,bac_0024,per_0024,PERSON,fnd_0005,,Capital call funding,OWN_FUNDS,cca_0029,2258256,SETTLED,
pay_0093,TX-276965,2026-08-06,6191802,USD,USD,bac_0145,cmp_0025,COMPANY,fnd_0008,,Distribution,THIRD_PARTY,cca_0044,6493069,SETTLED,
pay_0094,TX-812669,2026-04-18,1132756,USD,USD,bac_0071,per_0071,PERSON,fnd_0007,,Subsequent subscription,OWN_FUNDS,cca_0041,1104614,SETTLED,
pay_0095,TX-751949,2026-06-09,14077341,USD,USD,bac_0044,per_0044,PERSON,fnd_0007,,Distribution,OWN_FUNDS,cca_0037,14522098,SETTLED,
pay_0096,TX-196833,2026-06-10,2159023,USD,USD,bac_0170,cmp_0050,COMPANY,fnd_0005,,Subsequent subscription,OWN_FUNDS,cca_0030,2103220,SETTLED,
pay_0097,TX-189455,2026-05-26,6278022,USD,USD,bac_0110,per_0110,PERSON,fnd_0005,,Subsequent subscription,OWN_FUNDS,cca_0029,6575654,SETTLED,
pay_0098,TX-573648,2026-05-06,265676,USD,USD,bac_0057,per_0057,PERSON,fnd_0007,,Subsequent subscription,OWN_FUNDS,cca_0036,265171,SETTLED,
pay_0099,TX-945887,2026-04-30,12680520,USD,USD,bac_0099,per_0099,PERSON,fnd_0007,,Subsequent subscription,OWN_FUNDS,cca_0037,12401583,SETTLED,
pay_0100,TX-593036,2026-05-15,4797521,USD,USD,bac_0107,per_0107,PERSON,fnd_0007,,Distribution,OWN_FUNDS,cca_0040,4831573,SETTLED,
pay_0101,TX-632324,2026-08-06,16677329,USD,USD,bac_0017,per_0017,PERSON,fnd_0006,,Distribution,UNKNOWN,cca_0031,16028365,SETTLED,
pay_0102,TX-900063,2026-07-28,44021321,SGD,USD,bac_0006,per_0006,PERSON,fnd_0008,,Capital call funding,OWN_FUNDS,cca_0042,27513326,SETTLED,"{""class"": ""OVERPAYMENT"", ""detail"": ""amount exceeds allocated amount""}"
pay_0103,TX-254908,2026-05-01,5272454,USD,USD,bac_0093,per_0093,PERSON,fnd_0005,,Capital call funding,OWN_FUNDS,cca_0030,5314195,SETTLED,
pay_0104,TX-499948,2026-06-10,2182571,USD,USD,bac_0020,per_0020,PERSON,fnd_0006,,Capital call funding,OWN_FUNDS,cca_0031,2174317,SETTLED,
pay_0105,TX-176910,2026-08-04,12619799,USD,USD,bac_0051,UNKNOWN,UNKNOWN,fnd_0007,,Capital call funding,OWN_FUNDS,cca_0041,12572016,SETTLED,"{""class"": ""UNKNOWN_SOURCE"", ""detail"": ""no matching counterparty""}"
pay_0106,TX-775846,2026-06-28,1772538,USD,USD,bac_0073,per_0073,PERSON,fnd_0005,,Capital call funding,OWN_FUNDS,cca_0029,1735167,SETTLED,
pay_0107,TX-891708,2026-06-25,15595546,USD,USD,bac_0092,per_0092,PERSON,fnd_0007,,Capital call funding,THIRD_PARTY,cca_0040,15171513,SETTLED,
pay_0108,TX-489285,2026-06-20,16725501,USD,USD,bac_0001,per_0001,PERSON,fnd_0005,,Subsequent subscription,OWN_FUNDS,cca_0028,16538076,SETTLED,
pay_0109,TX-400574,2026-07-24,17044719,USD,USD,bac_0138,cmp_0018,COMPANY,fnd_0005,,Capital call funding,THIRD_PARTY,cca_0029,17116407,SETTLED,
pay_0110,TX-257126,2026-05-29,390619,USD,USD,bac_0178,cmp_0058,COMPANY,fnd_0006,,Capital call funding,OWN_FUNDS,cca_0033,410315,SETTLED,
pay_0111,TX-120756,2026-06-21,392306,USD,USD,bac_0060,per_0060,PERSON,fnd_0006,,Subsequent subscription,OWN_FUNDS,cca_0034,390132,SETTLED,
pay_0112,TX-768067,2026-07-06,3379368,USD,USD,bac_0140,cmp_0020,COMPANY,fnd_0007,,Subsequent subscription,OWN_FUNDS,cca_0041,3321117,SETTLED,
pay_0113,TX-631528,2026-07-06,138719,USD,USD,bac_0149,cmp_0029,COMPANY,fnd_0008,,Capital call funding,OWN_FUNDS,cca_0044,133629,SETTLED,
pay_0114,TX-581617,2026-04-15,70442,AED,USD,bac_0002,per_0002,PERSON,fnd_0005,,Capital call funding,OWN_FUNDS,cca_0029,70070,SETTLED,"{""class"": ""UNEXPECTED_CURRENCY"", ""detail"": ""AED received, USD expected""}"
pay_0115,TX-643404,2026-07-17,552184,USD,USD,bac_0151,cmp_0031,COMPANY,fnd_0006,,Capital call funding,THIRD_PARTY,cca_0034,580369,SETTLED,
pay_0116,TX-533385,2026-07-24,7797097,USD,USD,bac_0106,per_0106,PERSON,fnd_0007,,Distribution,OWN_FUNDS,cca_0038,8206515,SETTLED,
pay_0117,TX-413544,2026-04-14,15989880,USD,USD,bac_0080,per_0080,PERSON,fnd_0006,,Subsequent subscription,OWN_FUNDS,cca_0031,16028365,SETTLED,
pay_0118,TX-133002,2026-08-04,4699568,USD,USD,bac_0138,cmp_0018,COMPANY,fnd_0006,,Capital call funding,OWN_FUNDS,cca_0035,4836395,SETTLED,
pay_0119,TX-994816,2026-04-16,16326196,USD,USD,bac_0037,per_0037,PERSON,fnd_0006,,Capital call funding,THIRD_PARTY,cca_0031,16028365,SETTLED,
pay_0120,TX-831288,2026-07-08,976276,USD,USD,bac_0060,per_0060,PERSON,fnd_0008,,Subsequent subscription,OWN_FUNDS,cca_0042,950863,SETTLED,
pay_0121,TX-600225,2026-05-23,475884,USD,USD,bac_0045,per_0045,PERSON,fnd_0006,,Capital call funding,OWN_FUNDS,cca_0034,467312,SETTLED,
pay_0122,TX-911313,2026-07-05,11099263,USD,USD,bac_0125,cmp_0005,COMPANY,fnd_0007,,Capital call funding,OWN_FUNDS,cca_0038,11276490,SETTLED,
pay_0123,TX-210552,2026-07-03,427775,USD,USD,bac_0178,cmp_0058,COMPANY,fnd_0008,,Subsequent subscription,OWN_FUNDS,cca_0044,412840,SETTLED,
pay_0124,TX-946085,2026-08-06,265007,USD,USD,bac_0047,per_0047,PERSON,fnd_0007,,Capital call funding,OWN_FUNDS,cca_0037,273239,SETTLED,
pay_0125,TX-878260,2026-07-12,1737895,USD,USD,bac_0042,per_0042,PERSON,fnd_0005,,Distribution,OWN_FUNDS,cca_0029,1735167,SETTLED,
pay_0126,TX-840378,2026-05-13,565484,USD,USD,bac_0045,per_0045,PERSON,fnd_0006,,Subsequent subscription,OWN_FUNDS,cca_0034,559134,SETTLED,
pay_0127,TX-114809,2026-04-29,344779,USD,USD,bac_0123,cmp_0003,COMPANY,fnd_0006,,Capital call funding,OWN_FUNDS,cca_0035,357852,SETTLED,
pay_0128,TX-514781,2026-04-21,8145269,USD,USD,bac_0033,per_0033,PERSON,fnd_0007,,Capital call funding,OWN_FUNDS,cca_0038,8519972,SETTLED,
pay_0129,TX-164183,2026-08-04,8626017,USD,USD,bac_0055,per_0055,PERSON,fnd_0008,,Distribution,OWN_FUNDS,cca_0043,8456935,SETTLED,
pay_0130,TX-372170,2026-07-25,3551876,USD,USD,bac_0049,per_0049,PERSON,fnd_0008,,Distribution,UNKNOWN,cca_0044,3693401,SETTLED,
pay_0131,TX-226790,2026-05-05,6646495,USD,USD,bac_0109,per_0109,PERSON,fnd_0008,,Capital call funding,OWN_FUNDS,cca_0044,6493069,SETTLED,
pay_0132,TX-607642,2026-07-31,555846,USD,USD,bac_0034,per_0034,PERSON,fnd_0006,,Capital call funding,OWN_FUNDS,cca_0031,567503,SETTLED,"{""class"": ""SANCTIONED_PAYER"", ""detail"": ""payer resembles sanctions entry""}"
pay_0133,TX-516450,2026-07-21,449871,JPY,USD,bac_0005,per_0067,PERSON,fnd_0006,,Subsequent subscription,THIRD_PARTY,cca_0034,467312,SETTLED,"{""class"": ""THIRD_PARTY"", ""detail"": ""payer differs from LP legal entity""}"
pay_0134,TX-660352,2026-07-07,16018069,USD,USD,bac_0178,cmp_0058,COMPANY,fnd_0007,,Subsequent subscription,OWN_FUNDS,cca_0038,15804058,SETTLED,
pay_0135,TX-270694,2026-07-27,15798673,USD,USD,bac_0130,cmp_0010,COMPANY,fnd_0007,,Subsequent subscription,OWN_FUNDS,cca_0040,15171513,SETTLED,
pay_0136,TX-886808,2026-05-01,496288,USD,USD,bac_0124,cmp_0055,COMPANY,fnd_0006,,Capital call funding,OWN_FUNDS,cca_0035,520880,SETTLED,"{""class"": ""THIRD_PARTY"", ""detail"": ""payer differs from LP legal entity""}"
pay_0137,TX-877887,2026-05-11,9360870,USD,USD,bac_0050,per_0050,PERSON,fnd_0005,,Capital call funding,THIRD_PARTY,cca_0027,9626000,SETTLED,
pay_0138,TX-809505,2026-07-15,169062,USD,USD,bac_0105,per_0105,PERSON,fnd_0005,,Subsequent subscription,OWN_FUNDS,cca_0027,165659,SETTLED,
pay_0139,TX-266148,2026-06-06,9611564,USD,USD,bac_0179,cmp_0059,COMPANY,fnd_0006,,Capital call funding,UNKNOWN,cca_0032,9613559,SETTLED,
pay_0140,TX-931812,2026-07-31,11682342,USD,USD,bac_0017,per_0017,PERSON,fnd_0007,,Capital call funding,OWN_FUNDS,cca_0037,12242579,SETTLED,
pay_0141,TX-270555,2026-05-21,17351194,AED,USD,bac_0007,per_0007,PERSON,fnd_0005,,Capital call funding,OWN_FUNDS,cca_0028,17979299,SETTLED,"{""class"": ""UNEXPECTED_CURRENCY"", ""detail"": ""AED received, USD expected""}"
pay_0142,TX-753706,2026-04-11,81584,USD,USD,bac_0157,cmp_0037,COMPANY,fnd_0007,,Capital call funding,OWN_FUNDS,cca_0037,82011,SETTLED,
pay_0143,TX-201096,2026-07-18,595639,USD,USD,bac_0176,cmp_0056,COMPANY,fnd_0007,,Capital call funding,THIRD_PARTY,cca_0039,618818,SETTLED,
pay_0144,TX-713190,2026-07-09,8427554,USD,USD,bac_0122,cmp_0002,COMPANY,fnd_0008,,Capital call funding,THIRD_PARTY,cca_0042,8273212,SETTLED,
pay_0145,TX-442784,2026-06-11,10068573,USD,USD,bac_0137,cmp_0017,COMPANY,fnd_0007,,Subsequent subscription,OWN_FUNDS,cca_0038,10230238,SETTLED,
pay_0146,TX-194187,2026-07-31,2012083,USD,USD,bac_0156,cmp_0036,COMPANY,fnd_0005,,Capital call funding,OWN_FUNDS,cca_0030,2103220,SETTLED,
