id,source_id,source_type,relation,target_id,target_type,percentage,is_direct,start_date,end_date,metadata_json
edg_0051,cmp_0055,COMPANY,TRUSTEE_OF,trs_0010,TRUST,,1,2021-03-09,,{}
edg_0052,cmp_0056,COMPANY,TRUSTEE_OF,trs_0012,TRUST,,1,2021-12-21,,{}
edg_0053,cmp_0013,COMPANY,TRUSTEE_OF,trs_0014,TRUST,,1,2019-01-13,,{}
edg_0054,per_0047,PERSON,COMMITS_CAPITAL_TO,fnd_0007,FUND,,1,2025-10-29,,{}
edg_0055,cmp_0005,COMPANY,COMMITS_CAPITAL_TO,fnd_0001,FUND,,1,2021-03-14,,{}
edg_0056,per_0033,PERSON,COMMITS_CAPITAL_TO,fnd_0007,FUND,,1,2023-02-24,,{}
edg_0057,per_0090,PERSON,COMMITS_CAPITAL_TO,fnd_0004,FUND,,1,2023-10-09,,{}
edg_0058,per_0044,PERSON,COMMITS_CAPITAL_TO,fnd_0004,FUND,,1,2024-05-11,,{}
edg_0059,per_0019,PERSON,COMMITS_CAPITAL_TO,fnd_0002,FUND,,1,2025-04-25,,{}
edg_0060,per_0066,PERSON,COMMITS_CAPITAL_TO,fnd_0002,FUND,,1,2020-11-22,,{}
edg_0061,per_0048,PERSON,COMMITS_CAPITAL_TO,fnd_0005,FUND,,1,2022-05-08,,{}
edg_0062,per_0017,PERSON,COMMITS_CAPITAL_TO,fnd_0004,FUND,,1,2022-09-01,,{}
edg_0063,per_0074,PERSON,COMMITS_CAPITAL_TO,fnd_0004,FUND,,1,2023-11-02,,{}
edg_0064,trs_0003,TRUST,COMMITS_CAPITAL_TO,fnd_0008,FUND,,1,2024-01-05,,{}
edg_0065,per_0069,PERSON,COMMITS_CAPITAL_TO,fnd_0008,FUND,,1,2019-12-23,,{}
edg_0066,cmp_0034,COMPANY,COMMITS_CAPITAL_TO,fnd_0004,FUND,,1,2021-04-01,,{}
edg_0067,cmp_0018,COMPANY,COMMITS_CAPITAL_TO,fnd_0006,FUND,,1,2020-02-03,,{}
edg_0068,per_0005,PERSON,COMMITS_CAPITAL_TO,fnd_0007,FUND,,1,2024-08-15,,{}
edg_0069,per_0058,PERSON,COMMITS_CAPITAL_TO,fnd_0006,FUND,,1,2023-09-05,,{}
edg_0070,per_0006,PERSON,COMMITS_CAPITAL_TO,fnd_0007,FUND,,1,2019-03-23,,{}
edg_0071,per_0032,PERSON,COMMITS_CAPITAL_TO,fnd_0002,FUND,,1,2023-10-10,,{}
edg_0072,per_0089,PERSON,COMMITS_CAPITAL_TO,fnd_0008,FUND,,1,2025-12-15,,{}
edg_0073,per_0017,PERSON,COMMITS_CAPITAL_TO,fnd_0007,FUND,,1,2022-10-08,,{}
edg_0074,per_0009,PERSON,COMMITS_CAPITAL_TO,fnd_0008,FUND,,1,2019-07-31,,{}
edg_0075,per_0018,PERSON,COMMITS_CAPITAL_TO,fnd_0003,FUND,,1,2024-05-12,,{}
edg_0076,per_0014,PERSON,COMMITS_CAPITAL_TO,fnd_0001,FUND,,1,2021-01-03,,{}
edg_0077,per_0030,PERSON,COMMITS_CAPITAL_TO,fnd_0002,FUND,,1,2021-01-09,,{}
edg_0078,cmp_0022,COMPANY,COMMITS_CAPITAL_TO,fnd_0001,FUND,,1,2020-03-06,,{}
edg_0079,per_0051,PERSON,COMMITS_CAPITAL_TO,fnd_0001,FUND,,1,2019-09-17,,{}
edg_0080,cmp_0026,COMPANY,COMMITS_CAPITAL_TO,fnd_0003,FUND,,1,2019-10-14,,{}
edg_0081,per_0086,PERSON,COMMITS_CAPITAL_TO,fnd_0008,FUND,,1,2020-12-08,,{}
edg_0082,per_0069,PERSON,COMMITS_CAPITAL_TO,fnd_0003,FUND,,1,2019-10-10,,{}
edg_0083,cmp_0036,COMPANY,COMMITS_CAPITAL_TO,fnd_0002,FUND,,1,2021-06-13,,{}
edg_0084,per_0006,PERSON,COMMITS_CAPITAL_TO,fnd_0003,FUND,,1,2022-09-01,,{}
edg_0085,per_0021,PERSON,COMMITS_CAPITAL_TO,fnd_0008,FUND,,1,2020-07-08,,{}
edg_0086,per_0010,PERSON,COMMITS_CAPITAL_TO,fnd_0006,FUND,,1,2021-12-20,,{}
edg_0087,cmp_0021,COMPANY,COMMITS_CAPITAL_TO,fnd_0004,FUND,,1,2020-11-29,,{}
edg_0088,per_0028,PERSON,COMMITS_CAPITAL_TO,fnd_0007,FUND,,1,2023-09-15,,{}
edg_0089,cmp_0035,COMPANY,COMMITS_CAPITAL_TO,fnd_0008,FUND,,1,2025-01-17,,{}
edg_0090,per_0034,PERSON,COMMITS_CAPITAL_TO,fnd_0001,FUND,,1,2021-01-19,,{}
edg_0091,per_0059,PERSON,COMMITS_CAPITAL_TO,fnd_0006,FUND,,1,2025-06-09,,{}
edg_0092,per_0011,PERSON,COMMITS_CAPITAL_TO,fnd_0008,FUND,,1,2023-04-12,,{}
edg_0093,trs_0006,TRUST,COMMITS_CAPITAL_TO,fnd_0007,FUND,,1,2022-03-01,,{}
edg_0094,per_0017,PERSON,COMMITS_CAPITAL_TO,fnd_0008,FUND,,1,2025-11-11,,{}
edg_0095,cmp_0017,COMPANY,COMMITS_CAPITAL_TO,fnd_0002,FUND,,1,2023-03-03,,{}
edg_0096,per_0018,PERSON,COMMITS_CAPITAL_TO,fnd_0007,FUND,,1,2018-10-03,,{}
edg_0097,per_0008,PERSON,COMMITS_CAPITAL_TO,fnd_0004,FUND,,1,2018-12-09,,{}
edg_0098,cmp_0036,COMPANY,COMMITS_CAPITAL_TO,fnd_0002,FUND,,1,2023-07-30,,{}
edg_0099,cmp_0034,COMPANY,COMMITS_CAPITAL_TO,fnd_0004,FUND,,1,2022-12-09,,{}
edg_0100,per_0067,PERSON,COMMITS_CAPITAL_TO,fnd_0005,FUND,,1,2018-12-16,,{}
edg_0101,trs_0001,TRUST,COMMITS_CAPITAL_TO,fnd_0003,FUND,,1,2021-05-28,,{}
edg_0102,per_0085,PERSON,COMMITS_CAPITAL_TO,fnd_0008,FUND,,1,2023-01-23,,{}
edg_0103,per_0078,PERSON,COMMITS_CAPITAL_TO,fnd_0003,FUND,,1,2023-08-01,,{}
edg_0104,per_0072,PERSON,COMMITS_CAPITAL_TO,fnd_0008,FUND,,1,2019-11-04,,{}
edg_0105,cmp_0037,COMPANY,COMMITS_CAPITAL_TO,fnd_0006,FUND,,1,2019-05-30,,{}
edg_0106,per_0088,PERSON,COMMITS_CAPITAL_TO,fnd_0005,FUND,,1,2025-02-23,,{}
edg_0107,per_0016,PERSON,COMMITS_CAPITAL_TO,fnd_0006,FUND,,1,2022-02-07,,{}
edg_0108,per_0090,PERSON,COMMITS_CAPITAL_TO,fnd_0006,FUND,,1,2025-01-02,,{}
edg_0109,per_0001,PERSON,COMMITS_CAPITAL_TO,fnd_0008,FUND,,1,2023-05-10,,{}
edg_0110,per_0012,PERSON,COMMITS_CAPITAL_TO,fnd_0002,FUND,,1,2018-09-08,,{}
edg_0111,per_0031,PERSON,COMMITS_CAPITAL_TO,fnd_0001,FUND,,1,2024-09-12,,{}
edg_0112,per_0050,PERSON,COMMITS_CAPITAL_TO,fnd_0006,FUND,,1,2022-07-06,,{}
edg_0113,cmp_0005,COMPANY,COMMITS_CAPITAL_TO,fnd_0005,FUND,,1,2025-07-10,,{}
edg_0114,pay_0001,PAYMENT,SATISFIES,cca_0042,CAPITAL_CALL,,1,2022-08-06,,{}
edg_0115,pay_0002,PAYMENT,SATISFIES,cca_0040,CAPITAL_CALL,,1,2021-10-31,,{}
edg_0116,pay_0003,PAYMENT,SATISFIES,cca_0027,CAPITAL_CALL,,1,2020-01-21,,{}
edg_0117,pay_0004,PAYMENT,SATISFIES,cca_0044,CAPITAL_CALL,,1,2024-06-19,,{}
edg_0118,pay_0005,PAYMENT,SATISFIES,cca_0036,CAPITAL_CALL,,1,2021-02-27,,{}
edg_0119,pay_0006,PAYMENT,SATISFIES,cca_0032,CAPITAL_CALL,,1,2021-02-10,,{}
edg_0120,pay_0007,PAYMENT,SATISFIES,cca_0035,CAPITAL_CALL,,1,2021-03-01,,{}
edg_0121,pay_0008,PAYMENT,SATISFIES,cca_0043,CAPITAL_CALL,,1,2022-10-05,,{}
edg_0122,pay_0009,PAYMENT,SATISFIES,cca_0035,CAPITAL_CALL,,1,2024-02-17,,{}
edg_0123,pay_0010,PAYMENT,SATISFIES,cca_0044,CAPITAL_CALL,,1,2019-07-27,,{}
edg_0124,pay_0011,PAYMENT,SATISFIES,cca_0039,CAPITAL_CALL,,1,2024-10-12,,{}
edg_0125,pay_0012,PAYMENT,SATISFIES,cca_0034,CAPITAL_CALL,,1,2022-07-11,,{}
edg_0126,pay_0013,PAYMENT,SATISFIES,cca_0029,CAPITAL_CALL,,1,2022-09-24,,{}
edg_0127,pay_0014,PAYMENT,SATISFIES,cca_0037,CAPITAL_CALL,,1,2025-05-17,,{}
edg_0128,pay_0015,PAYMENT,SATISFIES,cca_0037,CAPITAL_CALL,,1,2020-02-07,,{}
edg_0129,pay_0016,PAYMENT,SATISFIES,cca_0043,CAPITAL_CALL,,1,2020-10-17,,{}
edg_0130,pay_0017,PAYMENT,SATISFIES,cca_0037,CAPITAL_CALL,,1,2020-01-26,,{}
edg_0131,pay_0018,PAYMENT,SATISFIES,cca_0038,CAPITAL_CALL,,1,2023-09-29,,{}
edg_0132,pay_0019,PAYMENT,SATISFIES,cca_0033,CAPITAL_CALL,,1,2020-01-18,,{}
edg_0133,pay_0020,PAYMENT,SATISFIES,cca_0039,CAPITAL_CALL,,1,2024-01-02,,{}
edg_0134,pay_0021,PAYMENT,SATISFIES,cca_0041,CAPITAL_CALL,,1,2025-04-04,,{}
edg_0135,pay_0022,PAYMENT,SATISFIES,cca_0042,CAPITAL_CALL,,1,2023-04-12,,{}
edg_0136,pay_0023,PAYMENT,SATISFIES,cca_0035,CAPITAL_CALL,,1,2023-03-28,,{}
edg_0137,pay_0024,PAYMENT,SATISFIES,cca_0034,CAPITAL_CALL,,1,2019-07-16,,{}
edg_0138,pay_0025,PAYMENT,SATISFIES,cca_0030,CAPITAL_CALL,,1,2020-08-10,,{}
edg_0139,pay_0026,PAYMENT,SATISFIES,cca_0041,CAPITAL_CALL,,1,2019-04-12,,{}
edg_0140,pay_0027,PAYMENT,SATISFIES,cca_0034,CAPITAL_CALL,,1,2025-12-23,,{}
edg_0141,pay_0028,PAYMENT,SATISFIES,cca_0039,CAPITAL_CALL,,1,2021-01-24,,{}
edg_0142,pay_0029,PAYMENT,SATISFIES,cca_0032,CAPITAL_CALL,,1,2019-06-24,,{}
edg_0143,pay_0030,PAYMENT,SATISFIES,cca_0032,CAPITAL_CALL,,1,2019-04-09,,{}
edg_0144,pay_0031,PAYMENT,SATISFIES,cca_0044,CAPITAL_CALL,,1,2021-11-18,,{}
edg_0145,pay_0032,PAYMENT,SATISFIES,cca_0032,CAPITAL_CALL,,1,2020-01-18,,{}
edg_0146,pay_0033,PAYMENT,SATISFIES,cca_0036,CAPITAL_CALL,,1,2019-03-27,,{}
edg_0147,pay_0034,PAYMENT,SATISFIES,cca_0041,CAPITAL_CALL,,1,2021-07-11,,{}
edg_0148,pay_0035,PAYMENT,SATISFIES,cca_0035,CAPITAL_CALL,,1,2021-10-08,,{}
edg_0149,pay_0036,PAYMENT,SATISFIES,cca_0043,CAPITAL_CALL,,1,2018-07-08,,{}
edg_0150,pay_0037,PAYMENT,SATISFIES,cca_0039,CAPITAL_CALL,,1,2025-10-02,,{}
edg_0151,pay_0038,PAYMENT,SATISFIES,cca_0043,CAPITAL_CALL,,1,2021-04-16,,{}
edg_0152,pay_0039,PAYMENT,SATISFIES,cca_0038,CAPITAL_CALL,,1,2025-07-30,,{}
edg_0153,pay_0040,PAYMENT,SATISFIES,cca_0036,CAPITAL_CALL,,1,2023-12-25,,{}
